iter	Passed	Remaining
0	57	57299
1	57	28787
2	58	19283
3	58	14532
4	58	11683
5	59	9775
6	59	8413
7	59	7405
8	60	6608
9	60	5972
10	60	5452
11	60	5017
12	61	4652
13	61	4336
14	61	4062
15	62	3822
16	62	3613
17	62	3425
18	63	3257
19	63	3106
20	63	2968
21	63	2843
22	64	2731
23	64	2627
24	64	2531
25	65	2443
26	65	2360
27	65	2281
28	65	2209
29	66	2142
30	66	2085
31	67	2029
32	67	1973
33	67	1924
34	68	1876
35	68	1829
36	68	1788
37	68	1746
38	69	1707
39	69	1670
40	69	1634
41	70	1601
42	70	1569
43	70	1539
44	71	1510
45	71	1481
46	71	1455
47	72	1429
48	72	1405
49	72	1382
50	73	1361
51	73	1339
52	73	1319
53	74	1298
54	74	1280
55	74	1262
56	75	1244
57	75	1227
58	75	1209
59	76	1192
60	76	1176
61	76	1160
62	77	1146
63	77	1132
64	77	1118
65	78	1105
66	78	1091
67	78	1078
68	78	1065
69	79	1052
70	79	1040
71	79	1028
72	80	1017
73	80	1007
74	80	996
75	81	985
76	81	975
77	81	965
78	82	956
79	82	946
80	82	937
81	83	929
82	83	919
83	83	910
84	83	903
85	84	894
86	84	887
87	84	878
88	85	870
89	85	862
90	85	855
91	85	847
92	86	840
93	86	832
94	86	825
95	86	818
96	87	811
97	87	804
98	87	798
99	87	791
100	88	786
101	88	780
102	88	774
103	89	768
104	89	763
105	89	757
106	90	752
107	90	746
108	90	741
109	90	735
110	91	730
111	91	725
112	91	720
113	92	715
114	92	710
115	92	706
116	92	700
117	93	695
118	93	691
119	93	687
120	94	683
121	94	678
122	94	674
123	94	669
124	95	665
125	95	662
126	95	657
127	95	653
128	96	649
129	96	645
130	96	642
131	97	638
132	97	635
133	97	631
134	97	627
135	98	623
136	98	620
137	98	617
138	99	613
139	99	610
140	99	607
141	99	602
142	100	599
143	100	596
144	100	593
145	100	590
146	101	587
147	101	584
148	101	581
149	102	578
150	102	575
151	102	572
152	102	569
153	103	567
154	103	564
155	103	561
156	104	559
157	104	556
158	104	553
159	104	550
160	105	547
