iter	Passed	Remaining
161	105	545
162	105	542
163	105	539
164	106	537
165	106	534
166	106	532
167	107	530
168	107	528
169	107	526
170	108	523
171	108	521
172	108	518
173	108	516
174	109	514
175	109	511
176	109	509
177	109	507
178	110	505
179	110	503
180	110	501
181	111	499
182	111	497
183	111	495
184	112	493
185	112	491
186	112	489
187	113	488
188	113	486
189	113	484
190	114	483
191	114	481
192	114	479
193	115	478
194	115	476
195	115	475
196	116	474
197	116	473
198	117	471
199	117	469
200	117	468
201	118	466
202	118	464
203	118	462
204	118	460
205	119	459
206	119	457
207	119	455
208	120	454
209	120	452
210	120	450
211	120	449
212	121	447
213	121	445
214	121	444
215	121	442
216	122	441
217	122	439
218	122	437
219	123	436
220	123	434
221	123	433
222	123	431
223	124	430
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	421
230	126	419
231	126	418
232	126	416
233	126	415
234	127	414
235	127	413
236	128	412
237	128	411
238	128	409
239	129	408
240	129	407
241	129	406
242	130	404
243	130	403
244	130	402
245	131	402
246	131	401
247	132	400
248	132	399
249	132	398
250	133	397
251	133	396
252	133	394
253	134	393
254	134	392
255	134	391
256	135	390
257	135	389
258	135	387
259	135	386
260	136	385
261	136	384
262	136	382
263	136	381
264	137	380
265	137	379
266	137	378
267	138	376
268	138	375
269	138	374
270	138	373
271	139	372
272	139	371
273	139	370
274	140	369
275	140	368
276	140	367
277	140	365
278	141	364
279	141	363
280	141	362
281	142	362
282	142	361
283	142	360
284	143	359
285	143	358
286	143	357
287	144	356
288	144	355
289	144	354
290	145	353
291	145	352
292	145	351
293	145	350
294	146	350
295	146	349
296	147	348
297	147	347
298	147	346
299	148	345
300	148	344
301	148	343
302	149	342
303	149	341
304	149	340
305	149	339
306	150	338
307	150	338
308	150	337
309	151	336
310	151	335
311	151	334
312	151	333
313	152	332
314	152	331
315	152	330
316	153	329
317	153	328
318	153	327
319	153	326
320	154	326
321	154	325
322	154	324
323	154	323
324	155	322
325	155	321
326	155	320
327	155	319
328	156	318
329	156	317
330	156	316
331	157	316
332	157	315
333	157	314
334	158	314
335	158	313
336	158	312
337	159	312
338	159	311
339	160	311
340	160	310
341	161	311
342	162	310
343	162	309
344	162	308
345	162	307
346	163	306
347	163	306
348	163	305
349	165	306
350	165	306
351	165	305
352	166	304
353	166	303
354	166	303
355	167	302
356	167	301
357	167	300
358	168	300
359	168	299
360	168	298
361	169	298
362	169	297
363	169	296
364	170	295
365	170	295
366	170	294
367	170	293
368	171	292
369	171	291
370	171	291
371	172	290
372	172	289
373	172	289
374	173	288
375	173	288
376	173	287
377	174	286
378	174	285
379	174	285
380	175	284
381	175	283
382	176	284
383	177	284
384	177	283
385	177	282
386	178	281
387	178	281
388	178	280
389	178	279
390	179	279
391	179	278
392	179	277
393	180	276
394	180	276
395	180	275
396	180	274
397	181	274
398	181	273
399	181	272
400	182	272
401	182	271
402	182	270
403	182	269
404	183	269
405	183	268
406	183	267
407	184	267
408	184	266
409	184	265
410	184	265
411	185	264
412	185	263
413	186	263
414	186	262
415	186	262
416	186	261
417	187	260
418	187	260
419	188	259
420	188	258
421	188	258
422	189	257
423	189	257
424	189	256
425	189	255
426	190	255
427	190	254
428	190	254
429	191	253
430	191	252
431	191	252
432	192	251
433	192	251
434	192	250
435	193	250
436	193	249
437	193	248
438	194	248
439	194	247
440	194	247
441	195	246
442	195	245
443	195	245
444	196	244
445	196	243
446	196	243
447	197	242
448	197	242
449	197	241
450	197	240
451	198	240
452	198	239
453	198	238
454	198	238
455	199	237
456	199	237
457	199	236
458	200	235
459	200	235
460	200	234
461	201	234
462	201	233
463	201	232
464	201	232
465	202	231
466	202	230
467	202	230
468	202	229
469	203	229
470	203	228
471	203	228
472	204	227
473	204	227
474	204	226
475	205	225
476	205	225
477	205	224
478	206	224
479	206	223
480	207	223
481	207	222
482	207	222
483	208	221
484	208	221
485	208	220
486	209	220
487	209	219
488	209	219
489	210	218
490	210	218
491	210	217
492	211	217
493	211	216
494	211	215
495	211	215
496	212	214
497	212	214
498	212	213
499	213	213
500	213	212
501	213	211
502	213	211
503	214	210
504	214	210
505	214	209
506	215	209
507	215	208
508	215	207
509	215	207
510	216	206
511	216	206
512	216	205
513	217	205
514	217	204
515	217	204
516	217	203
517	218	203
518	218	202
519	218	202
520	219	201
521	219	201
522	219	200
523	220	199
524	220	199
525	220	199
526	221	198
527	221	197
528	221	197
529	222	196
530	222	196
531	222	195
532	222	195
533	223	194
534	223	194
535	224	194
536	224	193
537	225	193
538	225	193
539	226	192
540	226	192
541	226	191
542	227	191
543	227	190
544	227	189
545	227	189
546	228	188
547	228	188
548	228	187
549	229	187
550	229	186
551	229	186
552	229	185
553	230	185
554	230	184
555	230	184
556	230	183
557	231	183
558	231	182
559	231	182
560	232	181
561	232	181
562	232	180
563	232	180
564	233	179
565	233	179
566	233	178
567	234	178
568	234	177
569	234	177
570	235	176
571	235	176
572	235	175
573	236	175
574	236	174
575	236	174
576	237	173
577	237	173
578	238	173
579	238	172
580	238	172
581	239	171
582	239	171
583	240	171
584	240	170
585	240	170
586	241	169
587	241	169
588	241	168
589	241	168
590	242	167
591	242	167
592	242	166
593	243	166
594	243	165
595	243	165
596	244	164
597	244	164
598	244	163
599	244	163
600	245	162
601	245	162
602	245	161
603	245	161
604	246	160
605	246	160
606	246	159
607	247	159
608	247	158
609	247	158
610	248	157
611	248	157
612	248	156
613	249	156
614	249	156
615	249	155
616	250	155
617	250	154
618	250	154
619	251	153
620	251	153
621	251	152
622	251	152
623	252	151
624	252	151
625	253	151
626	253	150
627	254	150
628	254	150
629	254	149
630	255	149
631	255	148
632	255	148
633	256	147
634	256	147
635	256	146
636	256	146
637	257	145
638	257	145
639	257	144
640	258	144
641	258	144
642	258	143
643	259	143
644	259	142
645	259	142
646	259	141
647	260	141
648	260	140
649	260	140
650	260	139
651	261	139
652	261	138
653	261	138
654	262	138
655	262	137
656	262	137
657	262	136
658	263	136
659	263	135
660	263	135
661	264	134
662	264	134
663	264	134
664	265	133
665	265	133
666	266	132
667	266	132
668	266	131
669	267	131
670	267	131
671	267	130
672	268	130
673	268	129
674	269	129
675	269	129
676	269	128
677	269	128
678	270	127
679	270	127
680	270	126
681	271	126
682	271	126
683	271	125
684	272	125
685	272	124
686	272	124
687	273	123
688	273	123
689	273	122
690	273	122
691	274	122
692	274	121
693	274	121
694	275	120
695	275	120
696	275	119
697	276	119
698	276	118
699	276	118
700	276	118
701	277	117
702	277	117
703	277	116
704	277	116
705	278	115
706	278	115
707	278	114
708	278	114
709	279	114
710	279	113
711	279	113
712	280	113
713	281	112
714	281	112
715	281	111
716	282	111
717	282	110
718	282	110
719	283	110
720	283	109
721	283	109
722	284	108
723	284	108
724	284	108
725	285	107
726	285	107
727	286	106
728	286	106
729	286	106
730	286	105
731	287	105
732	287	104
733	287	104
734	287	103
735	288	103
736	288	102
737	288	102
738	288	102
739	289	101
740	289	101
741	289	100
742	290	100
743	290	99
744	290	99
745	290	99
746	291	98
747	291	98
748	291	97
749	291	97
750	292	96
751	292	96
752	292	96
753	293	95
754	293	95
755	293	94
756	293	94
757	294	93
758	294	93
759	295	93
760	295	92
761	295	92
762	296	91
763	296	91
764	296	91
765	297	90
766	297	90
767	297	89
768	297	89
769	298	89
770	298	88
771	298	88
772	299	87
773	299	87
774	300	87
775	300	86
776	300	86
777	301	85
778	301	85
779	301	85
780	302	84
781	302	84
782	302	83
783	303	83
784	303	83
785	303	82
786	304	82
787	304	81
788	304	81
789	305	81
790	305	80
791	305	80
792	305	79
793	306	79
794	306	79
795	306	78
796	307	78
797	307	77
798	307	77
799	307	76
800	308	76
801	308	76
802	308	75
803	309	75
804	309	74
805	309	74
806	310	74
807	310	73
808	311	73
809	311	73
810	311	72
811	312	72
812	312	71
813	312	71
814	313	71
815	313	70
816	313	70
817	313	69
818	314	69
819	314	69
820	315	68
821	315	68
822	316	68
823	316	67
824	316	67
825	317	66
826	317	66
827	317	65
828	317	65
829	318	65
830	318	64
831	318	64
832	319	63
833	319	63
834	319	63
835	319	62
836	320	62
837	320	61
838	320	61
839	321	61
840	321	60
841	321	60
842	321	59
843	322	59
844	322	59
845	322	58
846	323	58
847	323	57
848	323	57
849	324	57
850	324	56
851	324	56
852	325	56
853	325	55
854	325	55
855	326	54
856	326	54
857	326	54
858	326	53
859	327	53
860	327	52
861	327	52
862	328	52
863	328	51
864	328	51
865	329	50
866	329	50
867	329	50
868	330	49
869	330	49
870	330	49
871	331	48
872	331	48
873	331	47
874	332	47
875	332	47
876	332	46
877	333	46
878	333	45
879	333	45
880	333	45
881	334	44
882	334	44
883	334	43
884	335	43
885	335	43
886	335	42
887	336	42
888	336	41
889	336	41
890	336	41
891	337	40
892	337	40
893	337	40
894	338	39
895	338	39
896	338	38
897	338	38
898	339	38
899	339	37
900	339	37
901	340	36
902	340	36
903	340	36
904	341	35
905	341	35
906	341	35
907	342	34
908	342	34
909	343	33
910	343	33
911	343	33
912	343	32
913	344	32
914	344	32
915	344	31
916	345	31
917	345	30
918	345	30
919	346	30
920	346	29
921	346	29
922	347	28
923	347	28
924	347	28
925	348	27
926	348	27
927	348	27
928	348	26
929	349	26
930	349	25
931	349	25
932	350	25
933	350	24
934	350	24
935	351	24
936	351	23
937	351	23
938	351	22
939	352	22
940	352	22
941	352	21
942	352	21
943	353	20
944	353	20
945	353	20
946	354	19
947	354	19
948	354	19
949	355	18
950	355	18
951	355	17
952	355	17
953	356	17
954	356	16
955	357	16
956	357	16
957	357	15
958	357	15
959	358	14
960	358	14
961	358	14
962	359	13
963	359	13
964	360	13
965	360	12
966	360	12
967	361	11
968	361	11
969	361	11
970	361	10
971	362	10
972	362	10
973	362	9
974	363	9
975	363	8
976	363	8
977	364	8
978	364	7
979	364	7
980	364	7
981	365	6
982	365	6
983	365	5
984	366	5
985	366	5
986	366	4
987	366	4
988	367	4
989	367	3
990	367	3
991	368	2
992	368	2
993	368	2
994	368	1
995	369	1
996	369	1
997	369	0
998	370	0
999	370	0
